Date,Price
2/13/2022,1206
2/12/2022,1251
2/11/2022,1230
2/10/2022,1258
2/9/2022,1258
2/8/2022,1258
2/7/2022,1194
2/6/2022,1208
2/5/2022,1208
2/4/2022,1208
2/3/2022,1184
2/2/2022,1184
2/1/2022,1184
1/31/2022,1184
1/30/2022,1184
1/29/2022,1177
1/28/2022,1141
1/27/2022,1103
1/26/2022,1184
1/25/2022,1184
1/24/2022,1184
1/23/2022,1184
1/22/2022,1184
1/21/2022,1184
1/20/2022,1184
1/19/2022,1164
1/18/2022,1164
1/17/2022,1120
1/16/2022,1120
1/15/2022,1095
1/14/2022,1094
1/13/2022,1075
1/12/2022,1075
1/11/2022,1075
1/10/2022,1075
1/9/2022,1094
1/8/2022,1075
1/7/2022,1075
1/6/2022,1075
1/5/2022,1075
1/4/2022,1075
1/3/2022,1075
1/2/2022,1103
1/1/2022,1102
12/31/2021,1074
12/30/2021,1074
12/29/2021,1074
12/28/2021,1074
12/27/2021,1074
12/26/2021,1102
12/25/2021,1101
12/24/2021,1074
12/23/2021,1074
12/22/2021,1074
12/21/2021,1074
12/20/2021,1074
12/19/2021,1102
12/18/2021,1063
12/17/2021,1063
12/16/2021,1068
12/15/2021,1068
